test_name,trial,lambda_obs,p_boot,p_wilks,gates,chi2_dof_a,chi2_dof_b,pass_trial,rejected
Di-charmonium,0,0.08965205489221262,0.96,0.9561638136246942,PASS,1.1262925860046877,0.9794632420630371,True,False
Di-charmonium,1,3.2921344732603757,0.16,0.19280668259764644,PASS,0.9368743787092302,0.9563365779690919,True,False
Di-charmonium,2,4.761805668691522,0.08,0.09246705737834193,PASS,0.8440601682936772,0.9411480574755655,True,False
Di-charmonium,3,1.9766629454461508,0.3,0.37219719438592347,PASS,1.0842463385487138,1.0859061563139876,True,False
Di-charmonium,4,4.830697824021627,0.1,0.08933616302296798,PASS,0.9614578356603535,1.087495964082296,True,False
Di-charmonium,5,0.047352508299809415,1.0,0.9766018293733966,PASS,0.760525292569411,1.174727408576708,True,False
Di-charmonium,6,0.42580160164652625,0.8,0.8082363096164273,PASS,0.9975961210092561,0.886400840033347,True,False
Di-charmonium,7,0.9354123290249845,0.58,0.626437566204775,PASS,1.0796605551422884,1.246246622285352,True,False
Di-charmonium,8,3.5773960685692145,0.1,0.16717768765353735,PASS,1.0950913773247095,1.0019329073222811,True,False
Di-charmonium,9,1.709912251244532,0.52,0.4253018505269761,PASS,1.1707671230314916,1.006208553738153,True,False
Di-charmonium,10,2.825741354150523,0.22,0.24344343163187943,PASS,0.7598371998481094,0.9701068768786112,True,False
Di-charmonium,11,0.9492504544105032,0.68,0.6221181657444235,PASS,1.1512233506089982,1.0390632502867878,True,False
Di-charmonium,12,0.011813966331828851,0.98,0.9941104287582961,PASS,1.0109236751670845,0.9903811528807132,True,False
Di-charmonium,13,2.8124574369139737,0.18,0.24506575456742752,PASS,1.3017107909613042,0.9877882749814423,True,False
Di-charmonium,14,5.827196951380756,0.04,0.054280052560711334,PASS,0.960763187424198,0.9625920052390905,True,True
Di-charmonium,15,0.7178069547444466,0.7,0.698441763532486,PASS,0.7252342679326522,0.7012640006604745,True,False
Di-charmonium,16,1.885959341263515,0.44,0.38946562543083496,PASS,0.969019176963098,1.0722204641117687,True,False
