test_name,trial,lambda_obs,p_boot,p_wilks,gates,chi2_dof_a,chi2_dof_b,pass_trial,rejected
Zc-like,0,0.3401890473905951,0.825,0.8435850740491659,PASS,0.9581686269627042,1.2459537692103742,True,False
Zc-like,1,0.22128328008693643,0.8916666666666667,0.8952595166119095,PASS,0.8118364911089233,0.8340371817132842,True,False
Zc-like,2,2.2741209359519416,0.26666666666666666,0.3207605231815862,PASS,0.9352399628031731,0.9889128698470752,True,False
Zc-like,3,0.24307189756655134,0.8916666666666667,0.8855592180002442,PASS,1.2315986159922803,1.1233936515293632,True,False
Zc-like,4,1.031420761195477,0.6,0.597076292514518,PASS,1.140857481191843,0.9101623679506338,True,False
Zc-like,5,1.2131299172178842,0.48333333333333334,0.5452205111101228,PASS,0.812804498519807,1.0045314367180074,True,False
Zc-like,6,2.57120495827985,0.2,0.2764839576256737,PASS,0.8930051453356128,1.2146828202735167,True,False
Zc-like,7,1.8891919018642511,0.3416666666666667,0.38883664825141895,PASS,1.2131670492514837,1.1935710766662566,True,False
Zc-like,8,1.623588923815987,0.39166666666666666,0.4440605011827018,PASS,1.362094216523156,0.7911007620958904,True,False
Zc-like,9,0.5054413219040725,0.7333333333333333,0.7766848099194541,PASS,0.8569158689227595,1.1582014499544915,True,False
Zc-like,10,1.304041906070779,0.48739495798319327,0.520991812129091,PASS,0.5987851941761403,0.8785979089967144,True,False
Zc-like,11,1.8786746778932866,0.35833333333333334,0.3908867749965015,PASS,1.3132367107120235,0.983682134837453,True,False
Zc-like,12,1.695543796493439,0.4083333333333333,0.4283683176337195,PASS,1.0532746363107797,0.8851527672701152,True,False
Zc-like,13,0.5916497007856378,0.675,0.7439177135054164,PASS,1.319586576261576,1.082759738033906,True,False
Zc-like,14,3.1973068266524933,0.19327731092436976,0.20216857228649654,PASS,1.4238974116364183,0.8330348999606982,True,False
Zc-like,15,2.015816112208995,0.31666666666666665,0.36498170275136,PASS,0.9662992803404371,0.7340575761153417,True,False
Zc-like,16,0.16534447415324394,0.9083333333333333,0.9206528536440607,PASS,1.0025066112178507,1.172145547008216,True,False
Zc-like,17,0.7147089610807598,0.680672268907563,0.6995244859617417,PASS,0.9051395015563749,0.7846151486072711,True,False
Zc-like,18,3.1477410538791446,0.19166666666666668,0.20724149422567706,PASS,1.1859481218656602,1.2782064932734307,True,False
Zc-like,19,0.1059433005284518,0.925,0.9484068991861792,PASS,0.994637113548541,1.0321298515652095,True,False
Zc-like,20,0.6626355877087917,0.6833333333333333,0.7179769641146359,PASS,1.540766344196944,0.9524934079373747,True,False
Zc-like,21,0.47017677046824247,0.7916666666666666,0.7905009779269605,PASS,1.093615566300533,1.4172768442408348,True,False
Zc-like,22,0.9829731940117199,0.55,0.6117163422289658,PASS,1.177845124872974,1.0303550224651834,True,False
Zc-like,23,1.8193025131477043,0.39166666666666666,0.4026646261913749,PASS,0.7844524509052743,0.8627748439686892,True,False
Zc-like,24,0.9237695043557324,0.6083333333333333,0.6300949528286444,PASS,1.0613823259552495,1.3395701246651406,True,False
Zc-like,25,12.692520401615184,0.0,0.0017532918501205197,PASS,0.941124395387209,1.1261820280520838,True,True
