Lambda_obs,bootstrap_lambda_mean,bootstrap_lambda_median,bootstrap_lambda_std,bootstrap_n,bootstrap_n_exceeded,bootstrap_n_valid,bootstrap_restarts,chi2_dof_a,chi2_dof_b,converged,dof_diff,fit_converged,gates,identifiable,n_bootstrap,n_restarts,nll_constrained,nll_unconstrained,p_boot,p_wilks,phi_spread,r_spread,rejected,stats_level,test,trial,verdict
0.5227083764693816,1.7546519772422846,1.257735458239722,1.663193956473435,200,152,200,80,0.9910575525212718,1.0064887462004568,True,2,True,PASS,True,200,80,-13120.494847124042,-13120.756201312277,0.76,0.7700081434858441,48.531193510684425,0.11034428216296675,0,1.0,Di-charmonium,20,NOT_REJECTED
1.5528965080884518,1.9148198327513888,1.22384865765423,2.021585646670312,200,90,200,80,1.1332782328687903,1.3698587580294304,True,2,True,PASS,True,200,80,-12686.15791799201,-12686.934366246054,0.45,0.4600370478010053,48.231724258003176,0.11332374827302986,0,1.0,Di-charmonium,18,NOT_REJECTED
4.478179319201445,1.869772398384142,1.4624471054046353,1.7859538013498257,200,17,200,80,1.073085053472229,1.1364495546097972,True,2,True,PASS,True,200,80,-12631.724789438427,-12633.963879098028,0.085,0.1065554619821516,48.139285447170764,0.10680259271851894,0,1.0,Di-charmonium,24,NOT_REJECTED
17.294398971589544,1.78490762663267,1.3093050939546629,1.7337895644667047,200,0,200,80,1.1413251781517784,1.1808693480412584,True,2,True,PASS,True,200,80,-12608.253106701155,-12616.90030618695,0.0,0.00017561798077458945,53.94171565912453,0.09284318923965083,1,1.0,Di-charmonium,19,DISFAVORED
6.774619592582894,1.7620621216272878,1.0512386357427204,1.8190702493316322,200,6,200,80,0.9490161757456446,1.0912442768171045,True,2,True,PASS,True,200,80,-12545.396076236051,-12548.783386032343,0.03,0.03379948219478435,56.638402721972824,0.09736241500824498,1,1.0,Di-charmonium,21,DISFAVORED
0.6820901219616644,1.9430734939682237,1.1769411509992551,2.1103511855240424,200,132,200,80,1.2293377112787902,0.8959848679812806,True,2,True,PASS,True,200,80,-12812.870404131178,-12813.211449192158,0.66,0.7110268679164653,57.06726603076687,0.1286551128168732,0,1.0,Di-charmonium,28,NOT_REJECTED
2.085969817748264,1.920107874934953,1.3395013792669488,1.8890503065098871,200,71,200,80,1.2409924301143924,1.0049285597626059,True,2,True,PASS,True,200,80,-12666.41293902054,-12667.455923929414,0.355,0.3524012249607327,52.636617702996546,0.09130511431006717,0,1.0,Di-charmonium,29,NOT_REJECTED
3.4618601030560967,1.7651903056725609,1.293049821724594,1.6498321313714999,200,31,200,80,1.0473826237156982,1.2196953991183908,True,2,True,PASS,True,200,80,-12403.371558934336,-12405.102488985864,0.155,0.17711960298486007,49.59374892656737,0.10680611398068102,0,1.0,Di-charmonium,16,NOT_REJECTED
1.70677575647278,1.6874538992357941,1.1017324307381386,1.6324398217733629,200,66,200,80,0.5778635227363622,0.9549520822725932,True,2,True,PASS,True,200,80,-12803.570933241079,-12804.424321119315,0.33,0.4259693523094319,51.975694331028734,0.09182131677090292,0,1.0,Di-charmonium,25,NOT_REJECTED
0.20043144625014975,1.8816235179511147,1.3406097435909032,1.921572222059628,200,173,200,80,1.0399757595916719,0.9582019930285889,True,2,True,PASS,True,200,80,-12585.072095416504,-12585.17231113963,0.865,0.9046422447329105,55.05443272415597,0.11194950913534181,0,1.0,Di-charmonium,23,NOT_REJECTED
